gene_name     synth_rate halflife
MYOF                 0.5      6.9
CLEC12B              2.6     18.4
RNF175               1.2      5.8
C9orf85              0.3      8.3
C9orf116             4.8      9.5
CLEC19A              0.4      3.6
KLC2                 3.4     15.9
C3orf80              6.4      3.7
MED6                 4.1     19.1
RNF183               1.2     13.1
ASIP                 7.9      3.2
AKAP8L               2.5     15.1
CNTN3                2.6     14.7
AGFG1                0.3     11.2
T                    7.0      8.8
B3GNT2               5.3     18.8
DUSP7                1.2      9.3
SPO11                6.5      8.9
ZNF683               1.4     11.6
ACTC1                1.8     23.5
GAGE1                1.0      6.5
BCAS3                0.3     13.7
RIC8A                0.9     18.7
HS3ST2               2.3     13.4
ZNF710               1.5     10.3
SOX7                 1.1      9.7
UNC13B               1.9     14.7
CPXM1                2.1      9.7
ADGRF3               6.1     20.8
SFTA2               24.2      3.7
AC008622.1           2.5      7.6
GINM1                0.2     12.4
AC005943.2           2.2      8.5
STAC2               11.5     20.7
LRRTM1               5.9      6.1
RTN2                 1.5      6.9
CH17-270A2.2         1.6     11.4
CDKN1B               1.5      6.8
EXD2                 4.8      6.9
INHBC                1.0     15.0
KATNA1              19.5      9.9
HAUS3                5.7     18.4
ZFP41                1.5     12.6
DAZ3                 1.7      8.5
CCAR2                0.3      7.1
DNAH6               14.4     14.5
CAPN7                4.6     13.1
EPHX4                1.0     22.7
ALDH9A1              2.7     13.8
TRMT61B              0.4     24.2
SPRY2                0.2     35.5
apricot              1.0     13.9
PLEKHG2              1.4     10.1
CFC1B                3.1      6.7
TSPO                13.2     10.4
ACSM3                6.2     16.0
CGGBP1               1.8     15.9
SPON2                0.6     11.5
CCL20                3.5      7.6
TMCC3                1.3     11.7
OR1L4                2.2      8.8
HIST1H3A             5.3     12.1
mango                6.1      5.4
MS4A18              34.1      9.4
DNTTIP2              0.5     15.9
ACOXL                6.4      7.0
GBF1                 3.0     11.1
MYT1                16.3      5.4
AGR2                 4.2     12.4
ZNF37A               0.7     10.9
MEPE                 1.5     16.9
MEIKIN               5.7      9.8
QRICH1               0.7     20.5
ZIC5                 0.3     19.4
GSTP1                1.2     13.6
OOSP2                1.6      8.5
STX16-NPEPL1         1.4      8.0
PFN1                 8.9     27.3
PAPOLG               1.2     15.3
OR5M3                1.2      6.7
TIA1                 6.1     11.9
POU6F2               1.0     18.5
OR10G2               0.7      5.8
CDYL2                0.8     14.3
NLRC3                0.1     10.8
CMTR1                1.0      8.7
NDUFV3               1.0     11.3
DEFB104B             0.9      6.1
TAF1                 7.0     15.7
KCND1                4.1      8.5
CALCR                0.8     14.7
AC019206.1           1.8     25.4
ITSN1                0.7      6.6
CHSY1                8.5      4.7
KIF2B                3.2     20.9
IFIT1                0.6      6.8
THYN1                3.4      9.2
KRTAP19-3           10.5      6.9
CLRN2                6.6     14.6
CD8B                 2.1      8.4
RNF145               1.8     12.1
HCAR2                4.6     13.3
RAB14               17.5     16.3
LIPT2                0.2     10.4
ECT2L                3.1     11.8
ATP5I                6.2     12.1
PIGZ                 1.1     17.2
EAF2                 2.4     12.9
CEP164               1.2      8.4
UBE2H                0.8      5.5
TTC14                0.6     11.9
RHNO1                5.3      7.0
ATP1A3               0.5     13.8
TRIM52               4.0      5.8
TSEN54               7.2     12.6
TMEM30A              2.1      9.7
KERA                 0.4      9.0
PAX7                 1.1     22.5
DAZ2                 1.4     11.9
ABHD3                2.2      7.7
TUBG1                4.6     16.2
RBM5                 1.6      9.5
INTS2                4.2      8.6
MEF2D                3.7     14.8
RUNDC3A              2.1      9.2
ZNF189               1.3      9.5
HOXA11               2.2     15.2
ZNF444               1.3     36.7
TSPOAP1              0.8     10.6
RP11-12J10.3         6.0      9.1
WDR41                1.8      7.7
BATF                 7.1      4.5
RBM47                1.7     19.4
HSFX1                3.8      9.4
IFNGR1               0.6     10.0
LSM10                0.9     17.3
ARPIN                5.4     11.5
ADIPOR1              1.2     15.3
TYRO3                1.7     30.5
PDPK1                2.7      6.3
DDX54                1.2     16.1
ATP2B3               0.9     10.6
RAB29                1.9     15.0
ICK                 13.5      8.5
CGREF1               0.4     15.9
EME1                 1.3     15.9
OR10H2               0.7     14.0
XRCC1                0.5      7.7
NARS2                0.6      8.9
LURAP1L              7.7     18.5
FOXN4                2.6     20.9
CFAP47               2.3     13.3
MXD1                 3.7     14.0
COL19A1              4.4     11.8
TM4SF19              0.9      8.2
PSMB6                2.2     21.2
SMOC1                1.3     17.2
FTSJ3                0.5      8.6
PTGIS                2.8      7.4
ZP3                  0.4      6.6
AC241585.1           2.3      8.7
APPBP2               2.5     21.6
LPXN                 0.9      8.2
DCTN3                5.3     25.7
MPRIP                2.5     10.9
MET                  2.4      8.0
RP11-73M18.2         0.8      9.2
KHDC1                2.5     10.7
CLDN22               1.2     12.1
PTCHD4               4.0     15.2
TTC3                 0.7      5.4
HHLA1                2.4     27.5
RIT2                 2.1      5.0
FAM73A               1.8      7.1
CCNO                 2.3      4.7
TEX13D               4.5      7.0
FUT1                 1.5      9.0
TNFRSF10C            7.2     21.8
SEC14L6              4.1     14.3
MIA2                 1.8      8.5
ANKUB1               2.6     11.6
PEG3                 2.8      4.1
SLC17A1              8.1      9.3
COL11A1              2.9     10.3
ST7                  3.5      9.6
HBG1                 1.3     12.7
RBM7                11.9     16.0
CRP                  0.8      9.7
NCBP2L               1.4     12.0
ZNF574               8.3      4.6
UQCC2                2.1     12.7
CYSTM1               0.2     13.4
MKRN2                5.1     16.8
AC105009.1           1.9      8.3
HMGB2                1.4     17.4
C1GALT1C1L           3.2     10.1
FAM181A              2.4     19.5
MDP1                 9.3     10.5
CHURC1               7.1      6.6
CD74                 3.0      7.5
MYO16                1.4     11.9
TREX1                7.7     34.6
ANHX                 0.9     18.2
CIITA                5.3     11.4
FER                  5.1     16.5
SLC39A7              4.6      5.9
KRTAP10-12           0.6     19.6
TYROBP               4.2      7.8
NANOS1               4.2     10.8
NDUFB11              1.9     25.4
SDF4                 3.4      7.3
CLTCL1               0.7      8.8
LRRC49               1.4      8.0
SPATA31A5            1.1      9.0
ZBTB8OS              4.2     14.2
RP11-111H13.1        6.4     18.3
ATP6V0D1             8.8     11.0
NDST4               17.6     26.0
ZNF746               0.8     12.5
MCAT                 2.3     12.6
CYB561D2             2.7      8.7
MIEF1                0.4      5.1
EIF3E                0.2      7.1
DEDD2               12.3     17.7
ZNF557               1.0      5.4
TFAP2B               1.3     12.8
UMPS                 0.6     24.9
DCBLD1               0.6     10.5
P2RY4                8.4     11.4
GOLPH3L              1.7      9.4
COMMD4               3.2      4.3
PLIN3                0.5      4.1
wasabi               2.8     16.4
RAG2                 1.3      8.6
IP6K1                3.4     13.3
CEP250               2.5      7.3
SFRP5                1.0     12.0
AC010642.1           0.9     11.3
CBWD2                3.1     16.7
ANKRD13A             3.0     13.1
MRPL34               1.9      9.4
SP100                0.7      4.5
AL135791.1           1.3      9.6
MRS2                 2.5     16.2
RFNG                 0.6     19.9
C6orf163             7.0     14.7
HADHB                9.0     13.0
TXNRD3               1.4     18.5
DPH3                 0.9     18.7
ZMYND11              1.6      6.1
TRIB3                1.4      9.5
SLC26A5              0.6     13.2
KCND2                4.6     12.2
KCTD15               1.3      4.3
RNF214               5.2      9.2
C16orf95             2.4      6.5
ZNF609               6.2      7.2
TAS2R43              1.9     15.1
CDX1                 1.3      7.9
ZNF429               5.5     14.7
LCE3D               12.4     25.9
STOM                12.6      9.7
CACFD1               1.2     13.7
HMOX2                3.6     11.8
GLDC                 2.9      7.2
UCP1                 1.8      8.4
PRR20C               5.8      9.7
PSD2                 2.6     12.5
PEX13               16.1      4.9
ZSCAN31              3.3     15.4
PCDHGA4              1.0     11.4
CLDN23               1.1      8.6
RP1-317E23.6         2.6     11.1
MAP3K6              26.5     13.2
AKAIN1               1.7     15.7
FAM96B               0.9      8.0
PSMD10               4.1     16.4
USP27X              44.8     12.0
SUCLG2               1.2      8.1
PTPDC1               1.6     10.3
HEYL                 0.3      4.2
MZT2A               11.2     18.8
TNS2                 0.9     12.1
CPEB2                6.8      9.4
FBXO48               9.2     14.4
BRE                  0.6     12.3
MS4A15               0.6     31.3
MPHOSPH6             2.9      8.6
TAC4                13.8     10.9
ZCCHC11              0.5     17.8
STRIP2               1.2      5.4
ANKRD36B             0.8      6.3
ST8SIA3              3.6      7.7
ANKRD53              2.5     14.5
RND1                 1.0     18.3
NUTM2A               3.6     12.5
FAM231C              0.1     53.0
GPCPD1               8.0     11.0
TRIM64               1.6     18.1
RADIL                2.6     19.0
LIPT1                2.6     11.4
SMPDL3A              7.2     15.1
NPHS2                6.3     11.1
LRP2BP               4.5     10.3
RIPK2                0.7      6.0
DUOXA1               1.3     12.4
GAGE12D              1.5     16.1
DMRTA1               2.0     23.2
FOSL2                1.0      8.5
ZNF174               2.8     16.0
SCO1                 3.0     12.0
SENP1               13.7     10.8
SLX4IP               8.6     14.3
MROH1                1.6     11.4
SDHAF1               1.8     12.4
FAM200A              2.6     17.8
SUMO2               20.7      8.5
NCS1                 3.3     20.7
OR2T1                0.5     18.1
RLN1                 2.0     21.7
HLA-DMB              2.3     17.1
ROCK1                3.3     13.6
RGS3                 5.8     12.7
ATP1B4               7.7     24.5
MFAP4                8.6      6.1
RP11-111M22.2        2.8      5.1
A3GALT2              6.9     12.1
PTMS                 2.5     19.6
C21orf59             1.5     12.4
HNRNPCL2             0.7     18.1
PHKG1                0.9      7.7
SYT4                 0.4     18.5
PEX16                2.6     14.9
C8orf37              9.6     16.5
AP005242.1           5.6     14.0
SYCE1               11.8     18.4
EFNB1                0.7      7.3
AGAP3                8.4     12.9
PLLP                 0.7     12.8
AC104581.1           1.4     10.0
ESRRB                7.6      6.4
RMND5A               0.7     13.0
SIGLEC8              2.5      8.1
LIMK1                0.6      4.7
RBMY1J               3.2      4.8
ADGRL2               2.0     15.1
DYNC1I1             15.2      9.9
HRK                  1.2     14.9
SP110                2.4     13.4
VWDE                 1.0     12.5
SAA4                 1.7     12.9
LINC01207            2.8     23.7
AC006994.3           3.3     18.3
OSTM1                5.4     16.0
AP1M1                2.9     15.2
APOD                 1.4      7.4
USE1                 6.7     13.8
VPS9D1               4.7      8.9
YEATS2               3.6     22.2
ORC5                 1.5      7.6
LNPEP                1.6     19.3
CYB5R1               0.6     10.7
HYOU1                1.0      6.8
LZIC                 0.8     12.6
REC8                 7.8     13.9
TIFAB                2.5     10.6
WNT8B                1.3      9.1
DAZL                 6.4      8.4
MFSD3                3.7     15.7
AC131263.1           4.9     12.0
NEDD8-MDP1           2.2      8.5
AASDH                2.3      8.4
BLOC1S5              1.3     10.5
VSNL1                1.3     29.8
PDP1                 2.6      9.1
MGAM                 2.5      7.6
FOXO3                6.0     10.5
NEK9                 0.8      7.4
LRIG3                0.7     22.1
MARCKSL1             2.6      7.1
RFX8                 2.1      8.7
SEPHS2               3.2      6.7
OVOS2                4.2      6.7
PPIAL4E              3.5     15.7
CD180                5.5     15.1
TMEM140             12.1     25.0
C1orf226             2.3     15.5
PLGRKT               4.1      7.1
NAT8L                2.7     13.6
SMKR1                8.5     13.0
TUBG2                6.0     15.2
TCP11X2              1.2     12.0
OTP                  1.7      8.3
MAEA                 9.4     13.5
PGS1                 4.1     11.7
RAP1GAP              0.9     10.3
HSPA6                6.3     12.0
HBD                 13.4      5.6
NAA11                4.2     10.1
FAU                  4.5     26.2
PPP5D1               3.4      5.2
FANCM                1.1      6.2
ZSCAN10              6.2      9.6
BAALC                0.6     22.2
TNFRSF9              1.7     12.9
GMNC                 1.7      3.6
ELFN2                4.9      7.6
ENO3                 4.2     12.3
TMEM88B              3.0     12.9
STARD5               4.4     11.5
NEU2                 0.9     11.9
NECAP1               7.1     12.6
NDUFS8              10.5      7.6
NPTN                 4.6     17.9
SYCP1                2.6     18.7
KIRREL3              4.2     22.9
TBC1D23              1.2      9.5
CCDC93               2.4     40.1
THOC5                0.9      9.8
CPLX3                0.7      7.3
DFFA                 2.9     13.0
OR8K5                0.9     11.1
CROCC2               0.8     20.8
SOCS5                1.1     21.0
TRIM69               2.2     10.2
ASB9                 1.6     12.8
CELA2B               0.4     13.0
RP5-850E9.3         12.6     13.5
POLR2A               1.1     12.3
FAT1                 1.0     25.0
C1GALT1              4.8     16.5
PPP4R1               4.7     17.2
RPS6KA4              0.5      7.7
DSG4                 1.2     11.1
VPS4B                1.3      7.6
UGT2A1               1.2      9.4
NOL11                5.0     21.4
FRY                  0.9      6.2
BOD1L1               4.6     11.3
RFX4                 1.8      9.8
MBNL1                2.2     16.4
OR2M7                0.5     20.6
DMWD                 2.4      6.3
CADM1                5.5     11.4
MANEAL               3.8     16.2
CSF2                 2.5      7.4
DDX18                6.3     11.4
TOMM34               0.6      5.6
PMEPA1               0.5     21.0
SPZ1                 1.0     14.4
PRM2                 4.3     18.7
KLHL38               1.0      5.5
AKAP17A              1.2     16.8
IL21                 3.4     13.1
VPS13B               7.3      5.1
FES                  4.0     11.3
LTC4S                1.0     12.0
LRRC57               0.9     12.5
MRO                 13.5      6.5
ARHGEF25             2.5     14.0
PFN2                 3.2     13.5
OR2G2               13.0     32.0
SAA2                 1.7     18.8
RP11-872D17.8        1.2     14.2
PTCRA                4.6     10.2
ZNF718               1.3      6.9
TSR2                 2.3     12.9
NDRG2                3.0      8.0
YJEFN3               3.7     10.7
TP53TG5              0.8     13.2
PRR15L               1.1      8.4
GSDMD                2.0      9.9
KPNA7                2.1     19.0
LIMS2                3.2     13.3
ANKRD22              3.7      8.6
TC2N                10.6     34.6
SLC25A36             2.8     15.8
RNF6                 2.6      6.3
ATL3                 0.8     15.5
FOS                 12.5      8.1
UBL4B                0.5     14.6
STATH                3.1     11.4
DAG1                 1.0     12.2
KCNJ16               3.0      9.0
KDELR2               0.3     17.0
ZNF563               4.6     18.4
TARM1               17.7      6.6
SLC46A1              1.8     14.3
CUX1                23.6      9.6
WDR31                0.6      8.0
ZCCHC14              2.4      7.9
ZC3H11A              0.6     10.4
AES                  0.8     21.0
OR52W1               1.1     11.6
ZNF841               2.8     13.1
BLMH                 1.0     15.6
ETV3L                1.9      7.2
OR4N5                0.3     19.1
INPP5K               0.2     10.2
ACOD1                3.3     16.1
METTL6               0.4     21.9
DNAJA2               1.3     12.9
C8orf46              1.4     19.5
CLDN9                2.6     13.0
FUBP3                8.1      8.6
OXSR1                6.0     26.4
PDK1                 3.3     13.4
KIAA0319             2.6     17.1
CDKN2A               0.3     13.9
AGAP6                3.0      4.9
PDE9A                1.7      6.8
ZNF678               1.6     27.7
CCDC137              2.0     15.3
BNIP3                1.5     17.3
FBL                  0.5      8.6
DNAAF3               0.9     32.5
UBE2W                2.7     15.6
LRRC8D               0.6      9.7
MCU                  2.9     28.9
GATAD1               1.4      4.7
TCEAL2               1.6     11.6
CP                   1.0     11.1
C5orf42              8.4     10.7
EXOSC4               1.4      8.7
PTPRS                2.0      7.2
SH3RF1               0.9     15.5
URB1                 8.8     14.4
PJA2                 3.2     20.7
UBL5                 2.6      9.8
CUL4B                6.4     11.2
ARMC10               2.7      9.8
SNX27                4.1     14.1
TPM4                 1.8     14.9
F2RL2                4.6      7.3
DMRT2                2.6     15.4
RABGAP1L             3.2      8.0
LMO4                 0.5     20.9
LYL1                12.3     11.9
HTR3B                0.7     19.0
AL360294.1           1.0      7.2
DEFB132              0.9      7.8
MRPL53               0.7     26.1
OAZ1                 0.2     15.4
SPINK14              4.7     16.8
MOB3C                6.0      9.5
CCZ1                 0.7      8.8
FARSB                2.7     13.2
METTL7A              3.6      9.6
PHF14                2.0     31.9
RAF1                 5.6     28.1
POLR2C               1.5     20.7
NAP1L2               5.7      8.4
RP11-514P8.6         1.0     11.1
CAPN9                5.5     13.2
SUGCT                1.8     12.7
DLD                  2.7      3.3
RARA                 0.9     16.9
RAB34                4.8      8.2
ANKRD30B            29.7     13.2
RBFOX1               0.7     17.0
FAM184B              3.4     13.2
C12orf10             4.9     13.7
GPR15                9.6      8.0
A4GALT               1.3     10.5
NECAB1               1.1     15.8
RHOC                 1.4     30.0
NMNAT1               0.8     26.7
SPTAN1               0.2      9.9
ABHD18               2.0      9.6
CMTM2                1.7     20.1
NTN4                 1.0     10.5
ARHGEF38             1.1     22.2
ACMSD                1.8     14.3
MRPS35               2.0     26.0
CRB1                19.6     19.5
CRAMP1               2.9     12.4
TRPC5                5.6     11.0
OPN5                 3.2     16.8
SMAD4                0.7     17.3
RGPD1               12.1     15.6
PPP1R2P9             9.3     19.4
RPS6KA3             21.2     14.9
DDX3Y                1.6      9.2
SPOCK2               1.2     17.4
RNF128               0.9     10.1
FBXL6                5.4     17.0
PDIA2                0.8     22.3
GNPTG                2.3     16.4
LCE1E                3.1     15.2
HIST1H2BG            7.1     12.7
GNGT1                1.8     13.0
OSBPL10              4.4     10.6
RTP5                 1.1     11.4
COL5A3               1.0     12.6
UBE2A                5.4     17.6
RP11-761B3.1        12.3     18.3
C9orf40             13.6     13.0
GOLGA6D              8.4     18.5
CCDC122              1.1     10.2
CNPPD1              15.8     11.1
SGK3                18.7     16.8
PLEKHF1              0.1      5.1
BRMS1L               5.8      8.9
ACADSB               3.3     10.6
SRRT                 0.6      7.8
PIGS                 1.4      8.7
ANO4                 3.2     17.0
CEACAM5              8.1      9.9
THPO                 3.5      7.2
DHX33               23.9     19.0
ABI3BP               4.8      9.0
FAM192A             13.9      7.2
ACPP                 0.6      8.9
PHTF2                3.6     16.2
C3orf52              1.4      9.8
ATG2B                3.5     27.0
ZNF717               5.2     10.3
SMIM17               0.6     18.9
CLMP                 8.1     13.7
ASCL4                8.2      7.6
SMC3                12.1     10.6
CDY1B                1.9      9.8
OCSTAMP              0.4     17.9
ITIH1               11.3      8.1
CASP1                1.0     11.3
SLC6A17              0.5     11.7
IZUMO3               8.3     10.2
PIGP                 0.3     13.0
SLC22A23             0.9      5.2
CROCC                1.9     21.0
FSCN1                4.8     17.3
FUOM                 0.6      9.5
RPL36AL              0.8     18.0
MVP                  1.7     10.2
SMIM4                0.3     11.9
ZNF215               1.1     17.6
NUTF2                2.4      4.4
GABPB1               5.1     17.0
GTF2H2C              3.1     10.9
PRAF2                1.8     11.4
NME7                 2.7      8.8
ARGLU1               2.3      8.5
GAPDHS               7.9     11.6
SNRPG                3.3     15.3
SHISA5               4.7     11.7
PDGFC                0.8     10.0
SH2B3                4.9      6.2
FYTTD1               2.6     10.2
RBM43                2.6     10.4
FTMT                 1.6      7.4
RPL22L1              0.3      9.7
AADAC                3.6     23.8
LRRCC1               1.6      8.9
RAB28                0.4      9.7
IGFBP6               1.2     15.1
OR2L2                1.5     16.7
ULBP3                1.8      7.2
REEP4                0.4     16.5
SETX                 6.9     20.6
SLC16A12             0.8     22.6
OR2A14               7.5     24.7
ACRV1                0.8      4.4
SPANXA2              1.1     11.1
HS3ST3A1             8.5      8.4
TMC4                 4.9     12.4
SRPX                 1.6     14.6
FBXO9                0.7     20.1
NUDT18               1.5     11.2
ZNF366               0.4      4.9
GOLGA8T             17.0      3.8
GPR173               8.2     11.4
USP10                2.2     10.1
MAP7D3              18.2     10.6
RGS7                 2.8     18.4
cauliflower          4.1      7.3
RECQL4               1.0     12.8
FAM25G               2.3     18.7
FAM24B               0.5     26.6
TGM6                 1.4     11.8
DBX1                 0.2      8.9
TXNDC17              2.8     12.8
AP000769.1           2.5     12.3
RNF215               3.9      9.5
PCDHGB7              5.4      6.6
USP8                12.3     12.4
ARHGAP32             6.3     11.4
DHRS12               3.1      7.1
RARRES3              0.3     10.2
DCTPP1               5.0     10.6
CACNA1S              3.2      4.5
ACYP2                3.7     14.3
PTH1R                2.8      6.8
RNASE2               7.1     20.9
DGUOK                7.5     14.5
CORIN                0.6     15.4
NUP62CL              6.5      8.1
MS4A7               13.2     16.3
CAP2                14.7      8.3
OR4C5                0.8      5.0
ABCD3                2.0     20.3
AZU1                 3.4     18.9
RWDD1                2.9     12.4
ARHGDIG              0.9     17.7
RDH12                1.2     13.2
CCDC102A             1.7      6.7
CYP4X1               2.9      7.5
MOB4                 4.2     11.8
CCNI                 1.1     15.2
CCDC73               3.3     19.5
ANPEP               10.4      6.8
MAP9                 7.4      9.1
ADRM1                0.6     12.0
QRFPR                1.5     20.5
ALG11               10.2     17.1
MCIDAS               5.2     14.5
PGD                  3.0     33.0
RBM6                 2.6     18.7
C6orf229             8.4     16.2
TRIM54               3.7      8.3
RPL41                4.4     15.6
MTMR7                2.0     10.4
MC5R                 0.2     22.5
SH3TC1               0.4      8.5
DENND1A              2.5      6.2
BRD1                 2.8     15.4
CTSW                 5.1      7.8
TNP2                 1.6     10.9
SOHLH2               4.2     11.3
ENPP6                4.5     27.5
EPOR                 4.1     11.9
DIEXF                0.8     13.0
WNT7A                1.4     13.0
ATG14                4.9      7.3
TSPEAR               0.3      7.0
INPP1               13.1      7.2
SLC50A1              1.5     14.2
HNRNPD               0.8     18.5
PNMA2                1.3     13.7
CTD-2587H24.4        1.2     22.1
C17orf98             2.0     10.1
CCDC103              1.7      9.9
CD72                 3.2     13.9
NKD2                 3.3     20.2
PLA2G4F             28.3     10.6
ALDH1A2             15.1     15.0
ADAMTS15             1.5      9.6
ICOSLG               2.9      4.4
HPS1                 1.7      7.1
RPE65                9.5     15.9
TOMM20               2.2      7.6
ARHGEF9              4.0     20.9
TDRD15               3.9      8.2
TERB1                2.9     11.6
PAX8                 2.1      9.6
TRNP1                5.7      8.1
PROB1                1.1      8.4
FAM134A              1.0     19.3
C9orf24              1.5      6.6
NCEH1                1.7     14.0
SAP30                0.3     18.0
PTK2                 1.2     15.5
PDCD6                4.9     12.9
ZNF692              10.7     10.9
OR1N2                2.4      7.7
RAB27A               2.1     10.4
COL24A1              7.4      9.3
OR2B2                2.9     20.0
MFN1                 1.0     12.6
PNLIP                2.2     10.5
GSG1                 1.6     12.0
HR                   2.8      9.9
RAVER2               0.6     20.0
SLC2A4               6.2     17.5
LMNTD2              10.2      8.0
HEATR1               1.2     18.7
VPS13A               1.8     16.2
AC113404.1           2.5     15.6
OR4A47               0.6      7.9
MRPL3                1.5      7.3
CHD6                14.4      8.7
POU4F1               0.8     12.5
ANXA4                3.3     13.6
HSD3B1               2.9     10.3
LRP2                 4.1     13.7
BPY2                 0.3      8.3
NARF                 2.2      5.5
OXSM                 3.4      3.2
OLR1                 1.1     11.4
TMEM205             11.9     12.1
DSN1                 4.1     18.2
SLC40A1              2.1     14.9
KRTAP9-9             2.6     12.6
FAM228B              0.3     10.2
LONRF1               1.5     12.6
SPATA5               0.9      9.2
DEAF1                3.1      5.9
CPZ                  1.4      9.4
EDN3                 2.6      9.5
ASPG                 2.5     20.6
PPM1J                1.9     15.9
TNMD                 1.3      6.9
KRTAP6-1             2.2     14.3
NEU3                 2.2     11.8
ZBED1                0.7     20.6
U2SURP               4.3     11.0
maize                8.9      9.4
KRTAP19-5            0.6     15.3
POPDC3               3.3      8.6
FBXO10               7.5      9.7
SOD1                 1.8      9.9
SACS                 0.2      8.1
LYSMD2               2.6     15.0
TRIM71               2.7      9.9
SYT2                 2.2      5.7
PDLIM4               8.4      5.0
POLR1B               4.9      5.0
ORM2                 2.3     10.2
MAPK15               2.4     11.1
COX6A1               2.0     17.1
ALG3                 6.6     10.5
TRIM68               5.2     13.7
H1FOO                6.2      8.9
MARCH6               1.9     13.5
ZNF777               0.2      8.2
ZNF439               6.4     20.7
HYAL2                3.4      4.4
G0S2                 8.8      9.7
DKK1                 0.2     12.2
LCE3C               13.4     11.3
COX5A                1.0     16.5
FDXR                 1.7     13.2
ATP5G3               1.7     14.9
NHLRC2               1.1     15.3
KCNJ18               4.5      8.6
LRRC37A3             0.8     14.3
STX17                3.7      5.3
COPZ2                1.7     21.4
SERTM1              14.7     20.1
XXYLT1              10.3     15.5
PLCXD2               1.7     11.5
TCTA                 1.1     10.8
MUC22               18.4     15.6
CD7                  1.3      8.6
FAM160B2             0.7     10.6
ATG5                 0.4     18.8
IL31                 0.9     12.8
RCAN3                9.0      5.4
SLC7A3               1.1      9.0
LMAN1L               3.4     10.0
POLA2                6.4      9.6
PPP1R13B             2.7      6.7
NPIPB3               1.1     12.7
ZAR1L                9.2      6.8
RPS3A                1.2     12.3
GPN1                 0.5      6.4
ABCF1                1.8     15.1
BRCC3                0.5     18.7
HMG20A               2.1     12.0
IL5RA                3.1     13.6
COMMD3-BMI1          1.2      6.3
SOAT1                0.5      5.5
TGM4                 0.4      9.7
HARS2                1.9      8.8
LY6G5C               1.1     20.8
RP11-515E23.1        1.0     10.5
SLC9C1               4.4     16.5
TAB1                 2.6     10.3
C12orf40             1.0     11.0
SST                  6.8     11.4
BAG3                 5.3      9.1
MT1B                 2.1      6.7
TOPBP1               2.2     20.6
ZNF625-ZNF20         3.5     13.9
CCR7                 2.5      5.1
OR10J1               0.5     10.4
CLEC9A              12.5     15.0
GPX4                 4.7     19.2
INTS7               15.8      6.9
PRSS36               2.4      9.3
B4GALNT2             3.3      8.0
ZNF587B              0.8     11.7
ZNF768               0.7     11.5
COL21A1              0.3     37.7
CCDC86               2.2     13.5
FN3KRP              13.4      9.0
SEPT2                1.6     11.3
GPR12                1.2     11.9
GPAT2                0.4      8.9
AC234582.2           1.5     17.3
TCEB3CL2             0.9      7.1
ZNF100               0.9     11.8
PEX5                 0.5     19.3
PTS                  2.8     12.8
KRT28                1.9      8.2
PAX2                 1.4     15.4
MST1                 1.8     16.4
GUCY2F               0.2     18.4
NNAT                 2.9     14.2
FAIM2                6.4     10.2
C20orf85             1.9     16.6
FOXI3                0.6      5.5
DEFB104A             1.9     16.0
F13B                 2.5     14.5
FAM72C              10.2      7.1
CLDN18               2.8     16.0
ZFYVE19              0.4     18.2
SLCO2A1              6.9      9.2
KCNN2                2.2     10.7
CNOT4                9.5      7.5
SPACA7               1.5     12.5
RIDA                 5.9     12.5
GK5                  6.7     18.1
OPN1LW               0.4     14.4
SMAD6               12.8      7.4
LIX1                 0.8     12.5
MGAM2                2.1     13.1
LRRC75B              8.2      8.2
PTX3                 2.1     10.3
NRXN2                5.1     16.9
SLC25A5              1.2      7.3
CCDC190              1.0     11.0
TNS1                 2.0     14.3
AP000349.2           3.1     24.8
PRKAR2A              0.9      8.9
ZFAND6               0.3      4.2
NCR3                 0.6      7.2
CITED2               1.0     17.7
GLCE                 4.4      7.5
CCDC15               2.3     37.8
FAM69A               5.5      9.5
DPH5                 3.0     12.5
DHRS4L2              1.6     15.0
SCN4A                0.9     18.9
MRPS33               5.9     18.5
AP000350.10          7.4      7.4
MFSD5                2.4      5.8
GRK1                14.4     15.4
PDCD1                1.1     37.9
NOP10                5.9     15.0
CNKSR2               7.0      8.8
FBXL17               4.6     27.2
BRI3                 2.8      8.5
ACTR2               16.9      8.4
TSG101               1.9     12.5
GPR31                1.3      6.9
AKR1C2               3.3     16.3
VSIG8                5.3     13.7
IL5                  2.6      8.0
NCKAP1L              1.6     16.2
CXCR2                4.6     12.1
CTD-2278I10.6        4.8     16.9
TRIM60               9.4      9.3
EXOC2                2.3     16.2
ZNF816-ZNF321P       1.3      6.1
RNASE13              1.1     17.3
FTCDNL1              5.5     14.3
DNAJC24              1.8     12.0
ING3                 3.8     20.0
PCSK9                1.4     18.5
ZNF155               1.6      7.8
CHGA                 1.6      6.9
NPW                  4.5     24.4
ORC6                 4.1     18.5
OR1S2                1.2     13.7
CAMSAP3              0.9     23.3
SERPINA7             1.5     16.4
cherry               1.1     15.8
AC092835.2           7.9     12.8
CD14                 4.9      7.2
CARS2                3.4      8.8
PSMB7                0.3      6.6
CCNC                 1.6     13.0
UBE4B                6.7     13.6
LARP4B               1.8      4.9
OARD1                0.9      6.2
SIGLEC7              3.3     17.5
MT-CO2               2.9     13.0
RELN                 0.7     13.7
SYBU                 4.1      6.4
SOWAHA               1.0     13.8
DGKG                 5.4     19.2
OXER1                2.3     43.9
