gene_name         0h    12h    24h    48h    96h 
RP5-966M1.6        2.9    2.5    2.0    1.1    0.2 
MUSTN1            42.8   49.8   47.1   42.5   16.0 
TMEM110-MUSTN1    15.6   14.4   10.4    4.6    0.6 
TMEM110           44.2   52.0   47.4   34.5   11.0 
SFMBT1            15.0   16.2   18.2   12.2    3.3 
RP11-894J14.5     17.5    9.0    3.5    0.5    0.0 
RFT1              14.5   17.2   14.4   11.0    4.1 
PRKCD             22.8    6.8    1.6    0.1    0.0 
TKT               23.3    6.7    1.6    0.1    0.0 
DCP1A             57.3   38.8   22.7    6.2    0.2 
CACNA1D           12.9    5.4    2.0    0.2    0.0 
CHDH             132.1  211.9  274.0  487.9  656.5 
IL17RB            20.0   31.8   40.1   59.1   85.0 
ACTR8              5.0    4.2    3.3    1.4    0.2 
SELK              33.7   37.1   39.9   31.8   14.0 
CACNA2D3          40.7   47.5   42.7   43.7   20.8 
LRTM1              7.1    5.4    3.6    1.2    0.1 
WNT5A             11.2    6.0    2.8    0.6    0.0 
ERC2              10.5   10.5    8.9    5.0    1.0 
CCDC66            16.8   17.8   16.4   12.5    3.5 
FAM208A           32.2   33.8   34.2   21.4    6.8 
ARHGEF3          191.0  308.3  344.7  442.9  427.3 
SPATA12           15.3   18.2   18.4   17.1    8.2 
IL17RD           343.1  349.2  284.0  162.8   34.3 
HESX1              3.8    3.0    1.5    0.5    0.0 
APPL1             85.1   24.3    5.3    0.2    0.0 
ASB14              5.9    3.3    1.8    0.4    0.0 
DNAH12            54.5   62.2   56.1   46.9   15.6 
PDE12             57.7   57.7   41.8   28.1    6.3 
ARF4              28.5   28.6   20.8   11.2    1.7 
DENND6A           46.0   38.6   32.6   18.0    2.7 
SLMAP             22.0   14.0    8.6    2.0    0.1 
FLNB              15.7   24.8   29.7   35.2   34.7 
DNASE1L3          25.7   16.9    8.4    2.2    0.1 
ABHD6             37.2   19.3    7.9    1.3    0.0 
RPP14             17.7    8.4    3.4    0.5    0.0 
RP11-80H18.3      15.1    9.8    6.0    2.1    0.1 
PXK               52.3   44.9   39.5   17.6    2.2 
PDHB               9.6   13.2   15.3   18.3   13.6 
KCTD6             36.2   39.0   32.3   19.6    4.0 
ACOX2             75.7   61.7   47.4   19.7    2.5 
FAM107A           29.7   25.8   17.9    8.9    1.1 
FAM3D            104.2  169.6  218.6  401.5  658.2 
C3orf67           26.1   19.1   12.4    4.2    0.3 
FHIT             140.8  219.4  265.9  329.0  409.2 
PTPRG             11.9   10.1    8.4    4.5    0.7 
C3orf14           11.6   16.6   17.5   16.1    9.6 
FEZF2             12.5    7.3    4.0    0.9    0.0 
CADPS             35.6   37.9   36.5   28.3   11.0 
SYNPR            488.3  510.8  407.0  277.1   70.0 
SNTN              10.5    9.6    6.8    3.1    0.4 
C3orf49           20.3    4.3    0.9    0.0    0.0 
THOC7             24.2   27.9   30.9   27.5   13.2 
ATXN7              8.4    4.0    1.6    0.2    0.0 
PSMD6             24.2   32.4   31.2   28.8   12.9 
PRICKLE2         179.9  249.8  283.9  360.4  294.6 
ADAMTS9          571.7  638.5  640.9  530.5  170.8 
MAGI1             65.9   47.7   27.4    9.3    0.6 
SLC25A26          31.2   18.0    8.6    1.6    0.0 
LRIG1             13.3    4.6    1.5    0.1    0.0 
KBTBD8            75.2   96.0  130.3  171.7  180.7 
SUCLG2            11.0    5.5    2.8    0.5    0.0 
FAM19A1           25.9   26.3   26.3   15.2    3.3 
FAM19A4           19.4    2.7    0.2    0.0    0.0 
EOGT              11.0    2.8    0.7    0.0    0.0 
TMF1              13.6    3.5    0.8    0.0    0.0 
UBA3              17.0   16.4   13.0    6.9    1.0 
ARL6IP5           35.5   47.1   58.6   62.1   43.0 
LMOD3             38.9   36.0   30.9   16.5    3.0 
FRMD4B            12.7   12.2   12.5    7.4    2.6 
MITF              40.9   41.9   43.1   28.5    8.1 
RP11-231I13.2     21.1    6.0    1.6    0.1    0.0 
FOXP1             24.6   33.6   37.9   36.6   23.1 
EIF4E3            92.4   74.0   62.8   38.7    6.3 
GPR27            166.2  233.2  267.5  263.4  188.5 
PROK2              6.8    2.6    0.6    0.1    0.0 
RYBP              28.5    9.7    2.6    0.2    0.0 
SHQ1              12.5   11.9   11.4    6.0    1.2 
GXYLT2            25.5   15.2    8.3    1.8    0.0 
PPP4R2            13.4   13.2   11.7    8.0    2.6 
EBLN2              9.4    6.1    3.6    0.9    0.0 
PDZRN3            87.3   77.5   63.9   37.0    6.4 
CNTN3             41.9   41.3   35.0   26.1    6.5 
FRG2C             56.4   31.3   12.8    2.0    0.0 
ZNF717            54.9   43.3   28.2    8.0    0.6 
ROBO2            117.4  133.6  125.4   98.1   31.9 
ROBO1             23.6   10.1    3.9    0.4    0.0 
GBE1              12.0    7.8    5.0    1.6    0.1 
CADM2             41.6   29.0   17.9    6.8    0.4 
VGLL3              5.9    2.4    0.7    0.1    0.0 
CHMP2B            63.0   78.5   76.4   67.8   33.8 
POU1F1             7.2    4.0    1.9    0.3    0.0 
HTR1F             47.2   25.8   10.0    1.8    0.0 
CGGBP1            27.9   28.6   33.3   22.7    8.1 
ZNF654            16.6    4.6    1.3    0.1    0.0 
C3orf38           39.1   23.4   12.6    2.7    0.1 
RP11-249L12.1     24.2   14.5    8.9    2.2    0.1 
EPHA3              3.3    3.0    2.3    0.8    0.1 
PROS1              4.4    1.8    0.5    0.0    0.0 
ARL13B            40.3   56.7   71.4   80.7   67.3 
STX19             93.0   99.9   99.9   80.8   33.5 
DHFRL1            30.7   33.5   32.0   29.2   10.9 
NSUN3             15.8   23.5   24.9   33.0   24.4 
MTRNR2L12         67.4   67.0   62.9   31.3    6.3 
EPHA6             16.2   10.6    5.6    1.4    0.0 
ARL6              13.9    7.9    3.3    0.5    0.0 
CRYBG3            22.9   22.5   24.1   19.0    8.1 
MINA              85.6  115.2  159.7  192.5  162.1 
GABRR3            32.8   23.6   14.7    4.9    0.3 
OR5AC2            62.9   25.6   10.3    1.1    0.0 
OR5H1             46.3   60.6   80.2  151.7  181.2 
OR5H14            53.8   58.9   52.4   35.8   10.0 
OR5H15            25.1   35.6   36.2   34.6   21.5 
OR5H6              8.0    3.4    1.1    0.1    0.0 
OR5H2             13.4   10.3    5.7    2.2    0.2 
OR5K4            117.6  201.5  259.4  313.2  439.7 
OR5K3             37.3   36.8   29.1   15.9    3.7 
OR5K1             57.9   54.4   46.0   23.2    4.1 
OR5K2             54.0   49.9   38.0   19.2    3.7 
CLDND1            39.3   29.7   20.7    8.2    0.8 
CPOX              39.7   41.9   34.7   20.5    4.7 
GPR15             77.6   39.4   20.9    3.3    0.1 
ST3GAL6           18.1    8.6    3.0    0.4    0.0 
DCBLD2            20.2   18.3   19.7   17.0    6.9 
COL8A1            95.1  106.9  116.1  106.3   51.2 
CMSS1              6.4    3.2    1.8    0.3    0.0 
FILIP1L           28.6   12.0    4.4    0.5    0.0 
TBC1D23           11.9    7.6    4.9    1.4    0.1 
NIT2              71.0   34.3   14.7    2.1    0.0 
TOMM70            41.1   35.2   25.6   11.1    1.2 
LNP1              22.4   16.1   11.6    3.7    0.2 
TMEM45A           13.2    9.5    4.9    1.3    0.1 
ADGRG7             6.9    5.4    5.1    2.6    0.5 
TFG                2.1    0.5    0.1    0.0    0.0 
ABI3BP            47.0   28.1   14.4    3.9    0.1 
IMPG2             50.3   70.8   81.4   85.6   74.2 
SENP7              7.0    6.8    6.0    3.7    0.9 
TRMT10C          138.7  184.9  204.1  241.4  132.3 
PCNP               7.5    1.1    0.1    0.0    0.0 
ZBTB11            45.7   81.0  121.1  227.4  574.6 
RPL24              7.4    7.9    7.4    5.1    1.4 
CEP97             28.6   40.6   48.6   68.8   67.0 
NXPE3             99.7  168.6  237.6  381.3  682.7 
NFKBIZ            18.2   16.2   11.1    5.7    0.6 
ZPLD1            339.3  227.5  174.7   74.5    8.0 
ALCAM             58.3   88.9  109.5  128.5  101.8 
CBLB              55.4   85.0   95.7  134.4  109.6 
CCDC54            35.0   28.1   19.8    7.4    0.7 
BBX               62.3   71.7   59.4   44.6   12.2 
CD47              22.5   19.4   14.9    6.3    0.8 
IFT57             19.4    9.2    3.3    0.4    0.0 
HHLA2             14.1   13.5   12.5    8.0    1.9 
MYH15             49.8   65.1   73.4   70.8   38.9 
KIAA1524          96.9   70.0   44.3   12.4    0.7 
AC069499.1         4.2    4.6    3.8    2.9    0.8 
DZIP3             10.1   10.5    8.8    5.5    1.0 
RETNLB            61.4   43.4   28.2    8.1    0.5 
TRAT1             70.8   56.0   53.3   24.2    4.8 
GUCA1C            57.7   52.3   40.5   18.6    2.1 
MORC1             34.9   37.0   39.5   27.9    9.8 
FLJ22763          91.5   86.5   79.5   49.7   12.6 
DPPA2              5.9    2.2    0.8    0.1    0.0 
DPPA4             42.9   23.0   12.5    2.4    0.1 
NECTIN3           28.1   14.8    7.4    1.6    0.0 
CD96              16.0   20.4   23.5   25.7   12.5 
ZBED2             18.2    5.2    1.3    0.1    0.0 
PLCXD2            19.3   16.9   11.3    5.6    0.6 
PHLDB2            17.2   19.1   16.5   11.3    3.3 
ABHD10            20.4   29.6   31.8   44.3   38.4 
TAGLN3           119.5   62.2   32.3    5.8    0.2 
TMPRSS7            6.9    0.4    0.0    0.0    0.0 
C3orf52           14.0    9.8    6.1    1.8    0.1 
GCSAM             99.3  102.6  106.5   79.7   29.0 
SLC9C1            78.2   86.0   87.8   76.0   27.1 
CD200             41.4   26.0   18.4    5.9    0.4 
BTLA              16.7    8.6    4.5    0.8    0.0 
ATG3             179.4  226.8  265.3  285.0  181.5 
SLC35A5           57.2   36.1   18.4    4.0    0.1 
CCDC80            58.1   37.0   21.1    8.2    0.5 
CD200R1L          17.7    8.8    3.4    0.5    0.0 
CD200R1          144.7  110.2   65.4   20.1    1.0 
GTPBP8           106.5   67.3   35.0    9.0    0.4 
NEPRO             15.4    4.5    1.3    0.1    0.0 
BOC               40.3   32.4   24.7    9.2    0.7 
CFAP44            34.9   53.1   69.1   87.2  103.4 
AC026348.1        23.0   18.1   12.4    5.0    0.6 
SPICE1            17.7   11.3    5.5    1.0    0.0 
SIDT1             27.7   33.0   29.2   17.9    5.4 
USF3              75.4   58.2   48.1   15.4    1.3 
NAA50             14.2    9.4    5.0    1.1    0.0 
ATP6V1A           20.4    3.7    0.6    0.0    0.0 
GRAMD1C          324.9  417.3  537.5  628.5  426.0 
ZDHHC23           79.2  101.6  120.1  147.4  139.4 
CCDC191           19.4   12.4    6.7    1.4    0.0 
QTRT2             90.4  112.9  100.5   75.5   25.7 
DRD3               6.1    4.7    3.0    1.1    0.1 
ZNF80             58.3   25.1   10.5    1.4    0.0 
TIGIT             12.7   16.0   15.7   13.1    5.5 
ZBTB20             5.2    0.3    0.0    0.0    0.0 
AC069063.1       222.9  282.7  349.5  320.6  228.6 
AC069063.2       140.4  120.1   92.3   39.1    5.5 
GAP43             20.6   25.2   27.6   27.4   15.9 
LSAMP             47.1   47.0   41.6   34.4   10.5 
IGSF11             5.8    5.9    4.6    2.8    0.5 
C3orf30           65.8   28.2   11.2    1.1    0.0 
RP11-484M3.5      73.2   40.4   19.0    3.6    0.1 
UPK1B             47.0   39.2   30.2   13.4    1.6 
B4GALT4          202.0  137.9   75.1   21.4    1.1 
ARHGAP31          45.8   24.9   12.6    2.7    0.1 
TMEM39A           30.8   13.7    7.4    1.0    0.0 
POGLUT1           76.9   62.1   37.8   14.7    1.2 
TIMMDC1           53.0   53.4   38.3   19.0    2.4 
CD80              41.8   59.1   70.9   71.8   42.1 
ADPRH             56.6   37.2   20.5    4.5    0.2 
PLA1A             64.9  122.6  222.2  525.6 1584.5 
POPDC2            15.3   12.4    6.8    2.5    0.2 
COX17             43.4   49.5   51.1   42.4   15.4 
MAATS1           127.3  103.9  109.0   66.4   12.1 
NR1I2             31.8    9.2    2.3    0.1    0.0 
GSK3B             39.5    8.1    1.3    0.0    0.0 
GPR156            42.6   26.2   16.0    4.5    0.2 
LRRC58            35.5   29.2   17.7    8.6    0.7 
FSTL1             25.2   12.6    5.9    1.0    0.0 
NDUFB4            71.5  114.3  158.6  287.5  577.4 
HGD               53.7   37.7   24.9    8.4    0.5 
RABL3             56.1   73.9   91.1  115.1  105.0 
GTF2E1            84.1   80.8   67.6   39.9    7.3 
STXBP5L           44.5   61.2   72.6   78.2   49.0 
POLQ              35.4   34.5   27.6   20.4    4.5 
ARGFX             39.9   50.4   58.7   69.4   45.1 
FBXO40            36.6   31.3   19.4    9.5    1.0 
HCLS1             21.1   20.4   16.8   10.5    2.1 
GOLGB1            21.7    7.0    2.4    0.2    0.0 
IQCB1             20.6   14.3    7.9    2.2    0.1 
EAF2              33.2   30.9   25.1   13.7    2.3 
SLC15A2          304.8  453.2  547.6  784.1  690.2 
ILDR1              3.0    2.5    2.2    1.1    0.2 
CD86              46.6   70.0   89.5  114.0  128.4 
CASR              13.6   15.7   13.7   10.5    2.9 
CSTA              21.5   18.6   12.7    4.4    0.4 
CCDC58            44.6   50.1   48.4   37.5   12.7 
FAM162A           10.0    2.4    0.5    0.0    0.0 
WDR5B             84.2  139.8  187.1  222.0  278.2 
KPNA1             23.6   20.4   12.3    4.9    0.4 
PARP9             16.6   22.3   25.9   29.6   22.3 
DTX3L             26.8   12.3    4.0    0.4    0.0 
PARP15            10.9    7.3    4.1    1.2    0.0 
PARP14            10.6   11.1    8.6    5.5    1.3 
HSPBAP1           23.8   29.5   31.0   33.2   22.5 
DIRC2            104.2   75.2   58.4   22.4    1.9 
SEMA5B            12.7   15.6   17.5   14.6    8.0 
PDIA5             19.0   25.6   27.3   23.7   13.1 
SEC22A             9.0   11.8   15.2   15.4   11.7 
ADCY5             13.0   16.8   20.1   21.7   16.0 
HACD2              6.5    3.2    1.2    0.2    0.0 
MYLK              62.7   52.5   40.1   16.8    1.9 
CCDC14             1.8    1.7    1.5    0.8    0.2 
ROPN1             89.1  131.0  169.5  229.9  230.9 
KALRN             28.7   18.7   10.5    2.8    0.1 
UMPS              16.3   24.0   30.4   39.4   45.8 
ITGB5             33.0   37.2   40.0   28.3   11.6 
MUC13             58.4   58.8   53.8   38.4   11.7 
HEG1              30.4   31.9   27.7   21.3    4.9 
SLC12A8           17.2   24.0   32.5   42.5   47.1 
ZNF148           249.5  187.4  111.6   38.4    2.3 
SNX4               5.6    1.3    0.3    0.0    0.0 
OSBPL11            8.1    3.5    1.2    0.1    0.0 
ALG1L             25.6   27.8   27.3   23.1    9.3 
ROPN1B            26.7   16.4    7.2    1.4    0.0 
SLC41A3           59.9   73.1   68.5   58.2   30.8 
ALDH1L1           12.0   13.3   16.1   16.0    8.4 
KLF15             14.9   15.6   15.9   13.6    5.1 
CFAP100          232.1  318.2  300.2  270.9  162.8 
ZXDC               8.8    5.4    2.5    0.5    0.0 
UROC1             19.9   13.1    7.0    1.8    0.1 
CHST13             6.4    4.1    2.2    0.6    0.0 
C3orf22           62.9   67.8   67.2   48.7   17.0 
TXNRD3NB          57.4   20.4    7.5    0.7    0.0 
TXNRD3            26.4   33.6   35.9   33.5   18.7 
CHCHD6            26.7   22.9   21.2   12.5    3.0 
PLXNA1           169.2  239.4  273.6  328.6  195.1 
TPRA1             53.6   47.5   34.1   17.1    2.5 
MCM2             102.5  139.4  183.6  248.6  297.0 
PODXL2            11.0    7.0    4.3    0.9    0.0 
ABTB1            309.3  415.6  534.6  812.1  984.0 
MGLL              59.2   43.8   31.2   10.0    0.9 
KBTBD12           78.0   66.0   62.7   39.7    8.1 
SEC61A1            5.2    3.1    1.8    0.4    0.0 
RUVBL1             5.7    2.4    0.8    0.1    0.0 
EEFSEC            29.9   21.8   13.6    5.5    0.5 
DNAJB8            62.0   44.8   33.7   13.9    1.1 
GATA2            196.1  215.2  236.1  212.9  103.0 
RPN1             527.2  857.7 1219.0 1866.4 2721.8 
RAB7A             21.7   22.9   23.6   14.9    4.3 
ACAD9            123.0   94.4   56.4   18.4    1.3 
KIAA1257          88.1   85.9   76.5   43.6    8.7 
RP11-723O4.6       9.7    4.0    1.8    0.2    0.0 
EFCC1             96.5   93.6   78.6   51.4   12.7 
GP9                4.2    2.0    1.0    0.2    0.0 
RAB43             27.2   33.3   46.5   57.4   57.9 
ISY1-RAB43        22.4   32.8   39.2   48.6   35.7 
ISY1              65.7   85.6   96.5   90.4   51.2 
CNBP              46.0   22.0    8.3    1.4    0.0 
COPG1             14.4   10.2    5.7    1.8    0.1 
HMCES             43.4    8.9    1.6    0.0    0.0 
H1FX              72.9   95.6  108.6  104.5   52.3 
EFCAB12            7.0    5.7    4.5    2.0    0.3 
MBD4              25.3   13.2    6.3    1.1    0.0 
IFT122            18.4   22.4   22.7   15.5    6.0 
RHO               78.5   96.5  118.7  116.5   61.3 
H1FOO             62.3   37.0   18.1    4.6    0.1 
PLXND1            26.1   23.3   20.3   10.9    1.9 
TMCC1             66.4   75.4   82.5   71.3   31.7 
TRH               25.0   22.8   19.7    9.5    1.4 
ALG1L2            22.9   13.9    6.8    1.4    0.0 
COL6A5             7.4    3.1    1.1    0.1    0.0 
COL6A6            10.2    5.1    2.4    0.4    0.0 
PIK3R4            48.3   99.5  146.7  327.1 1073.4 
ATP2C1           122.1  141.6  151.8  144.4   83.6 
AC055733.1       203.0  112.5   57.0   10.2    0.2 
ASTE1             50.7   40.0   29.7   11.2    0.9 
NEK11             98.4   94.5   68.4   43.4    6.2 
NUDT16            40.9   28.2   14.8    4.1    0.2 
MRPL3             11.5    5.2    2.1    0.3    0.0 
CPNE4            136.9  184.7  214.7  247.6  243.5 
ACPP               5.9    3.5    1.9    0.4    0.0 
DNAJC13            9.5    5.1    2.7    0.6    0.0 
ACAD11            30.7   24.6   15.8    5.9    0.4 
NPHP3-ACAD11      31.5   21.9   14.1    4.6    0.3 
ACKR4             21.7   13.6    5.9    1.2    0.0 
UBA5               8.2    8.0    7.4    6.1    1.9 
NPHP3             57.3   93.2  112.9  158.4  168.9 
TMEM108            6.6    2.3    0.6    0.0    0.0 
BFSP2             40.1   35.4   23.8   11.0    1.3 
CDV3              18.5   24.1   25.3   25.4   14.1 
TOPBP1            46.4   58.3   69.1   79.4   54.6 
TF                28.0   44.6   60.4  107.3  175.4 
SRPRB             30.2   41.4   46.9   53.0   36.3 
RAB6B             35.9   38.1   39.9   32.7    9.5 
C3orf36            2.1    0.3    0.1    0.0    0.0 
SLCO2A1           68.1   43.1   22.9    6.7    0.2 
RYK               45.7   63.5   76.4   88.1   83.8 
AMOTL2            36.9   21.8   12.5    3.1    0.1 
ANAPC13           63.7   70.4   72.4   63.8   30.0 
CEP63             26.3   24.8   17.2    7.8    1.0 
EPHB1             27.1   27.3   26.9   15.7    3.4 
KY                20.6    9.0    3.1    0.4    0.0 
PPP2R3A           10.8    8.0    4.9    1.5    0.1 
MSL2              65.5   73.8   67.1   49.9   14.9 
PCCB              65.0   54.6   45.7   20.3    2.6 
STAG1              7.6    4.7    2.7    0.6    0.0 
SLC35G2           12.1   10.1    7.5    3.6    0.5 
NCK1              22.4   30.2   31.8   36.6   24.5 
IL20RB            36.8   45.8   51.6   56.9   33.3 
SOX14             85.0   99.5  110.4   96.0   50.4 
CLDN18            44.9   49.6   46.1   35.6   13.4 
DZIP1L            76.9   80.5   86.5   74.6   29.0 
A4GNT             20.6   17.1   15.6   10.7    2.1 
DBR1               6.3    2.1    0.5    0.0    0.0 
ARMC8             82.5   59.3   41.3   11.8    0.7 
NME9              48.1   28.0   10.4    1.6    0.0 
MRAS              49.4   43.1   30.1   11.6    1.1 
ESYT3             11.2   14.7   18.0   19.6   13.7 
CEP70            142.4  139.7  111.2   61.4   13.8 
FAIM             117.5   55.3   24.8    3.2    0.0 
PIK3CB             2.8    2.0    1.3    0.4    0.0 
FOXL2             23.4   11.3    5.1    0.7    0.0 
FOXL2NB           18.8   19.4   17.5   10.1    2.1 
PRR23A            18.2   17.4   14.6    8.9    1.8 
MRPS22             2.5    1.5    0.8    0.2    0.0 
PRR23B             8.2    7.9    6.4    3.3    0.5 
PRR23C            46.5   36.6   23.4    8.9    0.6 
COPB2             10.5    3.5    0.9    0.1    0.0 
RBP2              10.0    7.4    4.4    1.4    0.1 
RBP1               7.2    4.5    2.7    0.6    0.0 
NMNAT3            43.1   58.9   58.6   63.6   36.9 
CLSTN2            14.7   12.0    9.0    4.5    0.5 
TRIM42            37.7   45.4   45.3   39.5   17.1 
SLC25A36          46.6   52.5   48.6   34.3   12.1 
SPSB4             12.5    6.2    3.1    0.7    0.0 
PXYLP1             4.5    0.9    0.2    0.0    0.0 
ZBTB38           277.9  366.7  361.7  381.0  226.9 
RASA2              9.6    8.2    6.6    2.8    0.3 
AC010184.1        24.3   17.7   13.2    5.0    0.5 
RNF7              19.0   24.1   27.2   29.0   20.4 
GRK7              30.8   17.2    7.9    1.6    0.0 
ATP1B3            42.3   33.6   23.1    8.1    0.7 
TFDP2             37.4   25.3   15.0    3.8    0.2 
GK5              123.1  146.1  174.1  155.2   68.3 
XRN1              32.5   43.4   50.2   43.1   25.6 
ATR               20.9   11.4    6.1    1.3    0.0 
PLS1              17.4   24.1   28.1   38.4   33.0 
TRPC1             16.1    4.8    1.0    0.0    0.0 
PCOLCE2           14.3    7.2    3.8    0.7    0.0 
PAQR9             18.0    5.6    1.7    0.1    0.0 
U2SURP            51.1   39.7   25.0   10.0    1.0 
CHST2             46.9   51.1   47.3   32.3   10.8 
SLC9A9            14.4   14.1   14.4    9.0    2.1 
C3orf58           48.0   50.5   53.7   43.1   16.9 
PLOD2             29.9   19.8   11.4    3.3    0.2 
PLSCR4            16.5    7.4    2.6    0.3    0.0 
PLSCR2            14.5   15.6   11.9    6.1    1.1 
PLSCR1            29.7    8.6    2.5    0.1    0.0 
PLSCR5             2.2    2.0    1.5    0.6    0.1 
ZIC4              12.5    4.8    1.5    0.1    0.0 
ZIC1              30.3   15.9    6.9    0.9    0.0 
AGTR1             21.2   21.7   21.2   12.8    2.8 
CPB1              24.5   22.1   19.6   11.8    2.3 
CPA3               8.6    5.0    2.4    0.5    0.0 
GYG1               4.7    2.0    0.9    0.1    0.0 
HLTF              16.1    9.6    4.9    1.4    0.1 
HPS3              18.1   17.9   20.1   16.2    5.7 
CP                11.8    8.8    6.3    2.6    0.2 
TM4SF18           11.3    6.4    3.3    0.7    0.0 
TM4SF1            22.3   17.6   12.4    4.0    0.3 
TM4SF4            51.2   28.1   11.0    1.7    0.0 
WWTR1              8.1    3.1    0.9    0.1    0.0 
COMMD2            28.1   18.4   11.9    3.8    0.2 
ANKUB1            30.5   26.6   20.4    8.1    0.9 
RNF13              0.4    0.1    0.0    0.0    0.0 
PFN2              49.1   44.7   38.8   21.7    4.3 
TSC22D2            7.0    2.8    0.9    0.1    0.0 
SERP1             23.5   25.1   21.5   14.9    4.0 
EIF2A             24.8   22.2   14.0    5.0    0.5 
SELT               6.4    6.3    5.9    4.3    1.2 
ERICH6             8.8    9.4   10.7    9.6    3.9 
SIAH2             71.8   97.8  112.8  122.7   92.3 
AC016142.1        18.8    8.6    4.1    0.5    0.0 
RP11-166N6.3      13.4   16.1   20.8   20.2   13.9 
CLRN1             25.6   29.5   32.0   22.5    8.7 
MED12L            47.9   27.8   15.3    4.4    0.2 
GPR171            16.5   10.1    5.2    1.1    0.0 
P2RY14            75.4   65.0   47.4   21.2    2.6 
GPR87             18.9   18.4   17.0   10.7    2.8 
P2RY13            18.8   20.9   19.7   18.2    7.1 
P2RY12             7.2    3.7    1.9    0.4    0.0 
IGSF10            13.8    6.7    3.5    0.6    0.0 
AADACL2           41.7   47.3   52.9   40.5   14.5 
AADAC             93.4  121.8  164.2  192.8  177.3 
SUCNR1             8.6    2.7    0.8    0.1    0.0 
MBNL1             40.1   46.6   43.3   37.9   13.2 
P2RY1            235.5  436.2  640.6 1484.8 3398.2 
RAP2B             89.0   59.1   37.5   12.9    0.7 
ARHGEF26           9.5    7.2    4.1    1.4    0.1 
DHX36             23.0   15.6   10.4    3.3    0.2 
GPR149            24.7   10.3    4.7    0.6    0.0 
MME                3.2    1.6    0.7    0.1    0.0 
RP11-451G4.2     421.6  552.6  739.6  839.9  722.1 
PLCH1             43.2   18.9    8.0    1.0    0.0 
C3orf33           56.7   84.3  103.2  140.5  135.0 
SLC33A1           73.3   72.8   71.8   58.1   19.9 
GMPS              14.5    8.9    4.5    0.9    0.0 
KCNAB1            80.9   67.0   45.4   18.7    1.7 
SSR3              62.9   54.3   40.2   25.9    4.1 
TIPARP            39.1   52.8   62.1   71.3   58.6 
LEKR1            285.0  169.9   90.8   22.9    0.8 
CCNL1             46.2   40.6   33.8   17.7    2.4 
VEPH1             12.4   14.9   16.2   15.0    6.8 
PTX3              22.8   15.7   10.3    3.6    0.2 
PQLC2L            34.3   28.5   19.9    8.1    0.9 
SHOX2            521.8  319.5  202.7   48.8    2.0 
RSRC1             30.3   17.7    7.9    1.2    0.0 
MLF1              24.6   17.6   11.3    3.3    0.2 
GFM1              57.0   74.7   88.8   95.7   60.5 
LXN                8.1    4.2    2.0    0.4    0.0 
RARRES1           23.0   21.4   19.3   11.6    3.0 
MFSD1             82.9   73.0   64.4   34.8    5.6 
IQCJ              28.2   29.9   25.6   16.1    4.0 
IQCJ-SCHIP1      187.2  201.2  180.9  120.3   33.1 
SCHIP1            39.1   55.4   69.6   90.2  110.6 
IL12A              4.6    1.6    0.6    0.0    0.0 
C3orf80           24.4    2.3    0.2    0.0    0.0 
RP11-432B6.3       5.5    3.5    2.2    0.5    0.0 
IFT80              3.8    1.2    0.3    0.0    0.0 
SMC4              44.7   16.2    5.3    0.4    0.0 
TRIM59            21.1   20.6   16.5    9.0    1.7 
KPNA4             84.2   46.6   22.0    5.2    0.1 
ARL14            117.1  141.5  173.0  196.7  138.3 
PPM1L              7.3    3.3    1.5    0.2    0.0 
B3GALNT1           8.3    4.7    2.3    0.4    0.0 
NMD3              17.5   12.9    8.6    2.7    0.2 
SPTSSB             7.1    3.3    1.7    0.2    0.0 
OTOL1             16.4    7.4    3.1    0.5    0.0 
SI                32.7   34.9   34.1   31.5   12.1 
SLITRK3           18.2    9.2    4.3    0.7    0.0 
BCHE              20.7   10.0    3.8    0.4    0.0 
ZBBX              34.9   31.1   23.2   10.8    1.2 
SERPINI2          58.2   25.6   10.2    1.5    0.0 
WDR49             31.3   29.7   25.5   12.9    2.2 
PDCD10            40.6   32.4   24.3    9.4    0.9 
SERPINI1          26.2   19.5   13.1    4.2    0.3 
GOLIM4            41.4   29.3   16.6    4.4    0.2 
MECOM             19.4    4.2    0.8    0.0    0.0 
AC074033.1        28.5   24.0   21.0   10.3    1.8 
ACTRT3            24.8   39.7   49.9   65.1   72.6 
MYNN               6.5    0.5    0.0    0.0    0.0 
LRRC34             5.6    3.5    1.7    0.5    0.0 
LRRIQ4             6.6    3.6    2.2    0.5    0.0 
LRRC31            36.9   28.6   20.0    7.8    0.6 
SAMD7             77.5  101.5  110.6   95.5   54.5 
SEC62             16.5   18.7   15.5   10.6    2.9 
GPR160             6.2    2.3    0.9    0.1    0.0 
PHC3             236.9  308.3  317.8  276.1  107.9 
PRKCI             42.1   46.0   42.4   22.8    5.3 
SKIL              13.1   12.7   11.4    6.5    1.3 
CLDN11            13.0    9.7    6.0    2.2    0.2 
SLC7A14           67.2   83.0   85.6   88.1   59.9 
RPL22L1            2.7    1.8    1.1    0.3    0.0 
EIF5A2            81.7   92.7   94.2   70.1   27.7 
SLC2A2            20.5   18.8   16.6   11.3    2.4 
TNIK              38.9   20.1    8.6    1.4    0.0 
PLD1              48.4   14.8    3.9    0.3    0.0 
TMEM212           32.1   14.5    6.5    1.0    0.0 
FNDC3B           106.2  112.7  110.3   81.3   23.0 
GHSR              21.8   14.5    7.2    1.6    0.0 
TNFSF10          183.6  113.7   82.7   22.4    1.3 
